EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
54	1	1	60	0	1	1	912	0.480506	
186	1	1	60	0	1	1	912	0.481577	
406	1	1	60	0	1	1	912	0.494146	
490	1	1	60	0	1	1	912	0.489018	
512	1	1	60	0	1	1	912	0.482551	
525	1	1	60	0	1	1	912	0.485823	
543	1	1	60	0	1	1	912	0.481983	
655	1	1	60	0	1	1	912	0.479046	
701	1	1	60	0	1	1	912	0.490863	
790	1	1	60	0	1	1	912	0.481513	
908	1	1	60	0	1	1	912	0.4903	
1044	1	1	60	0	1	1	912	0.505787	
1185	1	1	60	0	1	1	912	0.486822	
1260	1	1	60	0	1	1	912	0.485122	
1305	1	1	60	0	1	1	912	0.499372	
1467	1	1	60	0	1	1	912	0.483383	
1834	1	1	60	0	1	1	912	0.490994	
1938	1	1	60	0	1	1	912	0.481224	
2126	1	1	60	0	1	1	912	0.490111	
2220	1	1	60	0	1	1	912	0.482898	
2299	1	1	60	0	1	1	912	0.477946	
2507	1	1	60	0	1	1	912	0.503819	
2723	1	1	60	0	1	1	912	0.490884	
2884	1	1	60	0	1	1	912	0.478264	
3032	1	1	60	0	1	1	912	0.480373	
3583	1	1	60	0	1	1	912	0.490393	
3652	1	1	60	0	1	1	912	0.486258	
3809	1	1	60	0	1	1	912	0.480573	
3829	1	1	60	0	1	1	912	0.507666	
3976	1	1	60	0	1	1	912	0.4791	
4001	1	1	60	0	1	1	912	0.487376	
4024	1	1	60	0	1	1	912	0.48757	
4098	1	1	60	0	1	1	912	0.487839	
4609	1	1	60	0	1	1	912	0.502856	
4648	1	1	60	0	1	1	912	0.488244	
4729	1	1	60	0	1	1	912	0.495509	
4761	1	1	60	0	1	1	912	0.490583	
4858	1	1	60	0	1	1	912	0.514051	
4871	1	1	0	0	4	1	912	0.491396	
4958	1	1	60	0	1	1	912	0.494761	
5009	1	1	60	0	1	1	912	0.490113	
5569	1	1	60	0	1	1	912	0.481402	
5578	1	1	60	0	1	1	912	0.479294	
5696	1	1	60	0	1	1	912	0.480523	
5784	1	1	60	0	1	1	912	0.480136	
5826	1	1	60	0	1	1	912	0.486131	
5953	1	1	60	0	1	1	912	0.481402	
5970	1	1	60	0	1	1	912	0.484102	
6058	1	1	60	0	1	1	912	0.478521	
6239	1	1	60	0	1	1	912	0.479233	
6450	1	1	60	0	1	1	912	0.486879	
6605	1	1	60	0	1	1	912	0.490389	
6633	1	1	60	0	1	1	912	0.491501	
6899	1	1	60	0	1	1	912	0.482912	
6906	1	1	60	0	1	1	912	0.512901	
7005	1	1	60	0	1	1	912	0.493383	
7011	1	1	60	0	1	1	912	0.501996	
7067	1	1	60	0	1	1	912	0.483434	
7411	1	1	60	0	1	1	912	0.489399	
8101	1	1	0	0	3	1	912	0.479197	
8101	2	1	60	0	1	1	912	0.47931	
8386	1	1	60	0	1	1	912	0.478701	
8810	1	1	60	0	1	1	912	0.493407	
8844	1	1	60	0	1	1	912	0.479761	
8944	1	1	60	0	1	1	912	0.489377	
9120	1	1	60	0	1	1	912	0.480658	
9125	1	1	0	0	3	1	912	0.499815	
9125	2	1	0	0	4	1	912	0.499878	
9169	1	1	60	0	1	1	912	0.483442	
9245	1	1	60	0	1	1	912	0.478802	
9287	1	1	60	0	1	1	912	0.479763	
9437	1	1	10.9061	0	2	1	912	0.489277	
9437	2	1	0	0	4	1	912	0.490184	
9505	1	1	60	0	1	1	912	0.478864	
9516	1	1	60	0	1	1	912	0.480474	
9666	1	1	60	0	1	1	912	0.481927	
9766	1	1	60	0	1	1	912	0.497708	
10162	1	1	60	0	1	1	912	0.505201	
10303	1	1	60	0	1	1	912	0.493881	
10448	1	1	60	0	1	1	912	0.490125	
10601	1	1	60	0	1	1	912	0.481358	
10708	1	1	60	0	1	1	912	0.486587	
10716	1	1	0	0	3	1	912	0.482675	
10716	2	1	60	0	1	1	912	0.483324	
10923	1	1	0	0	4	1	912	0.491189	
11076	1	1	60	0	1	1	912	0.501326	
11114	1	1	60	0	1	1	912	0.493961	
11492	1	1	5.00109	0	2	1	912	0.483377	
11492	2	1	54.9989	0	1	1	912	0.484162	
11533	1	1	60	0	1	1	912	0.499948	
11739	1	1	60	0	1	1	912	0.489263	
12313	1	1	60	0	1	1	912	0.489464	
12378	1	1	60	0	1	1	912	0.504651	
12445	1	1	60	0	1	1	912	0.485996	
12572	1	1	60	0	1	1	912	0.496217	
12686	1	1	60	0	1	1	912	0.481659	
13016	1	1	60	0	1	1	912	0.486759	
13595	1	1	60	0	1	1	912	0.489314	
13744	1	1	60	0	1	1	912	0.478964	
14058	1	1	60	0	1	1	912	0.481237	
14098	1	1	60	0	1	1	912	0.485682	
14126	1	1	60	0	1	1	912	0.480138	
14319	1	1	60	0	1	1	912	0.482837	
14394	1	1	60	0	1	1	912	0.479171	
14429	1	1	60	0	1	1	912	0.481245	
14771	1	1	60	0	1	1	912	0.497366	
15144	1	1	60	0	1	1	912	0.494756	
15262	1	1	60	0	1	1	912	0.479806	
15545	1	1	60	0	1	1	912	0.481347	
15778	1	1	60	0	1	1	912	0.480886	
15839	1	1	60	0	1	1	912	0.488026	
15877	1	1	0	0	3	1	912	0.485582	
15877	2	1	60	0	1	1	912	0.486159	
15926	1	1	60	0	1	1	912	0.488928	
15964	1	1	60	0	1	1	912	0.484916	
16081	1	1	60	0	1	1	912	0.480738	
16152	1	1	60	0	1	1	912	0.489099	
16212	1	1	60	0	1	1	912	0.48212	
16426	1	1	60	0	1	1	912	0.487562	
16451	1	1	60	0	1	1	912	0.488064	
16861	1	1	0	0	3	1	912	0.478892	
16861	2	1	60	0	1	1	912	0.480837	
16868	1	1	60	0	1	1	912	0.482902	
17166	1	1	60	0	1	1	912	0.489439	
17168	1	1	60	0	1	1	912	0.488397	
17705	1	1	60	0	1	1	912	0.483831	
17816	1	1	60	0	1	1	912	0.490289	
17922	1	1	60	0	1	1	912	0.507093	
17932	1	1	60	0	1	1	912	0.485864	
18024	1	1	60	0	1	1	912	0.48124	
18330	1	1	60	0	1	1	912	0.485049	
18341	1	1	0	0	4	1	912	0.507634	
18411	1	1	60	0	1	1	912	0.479429	
18455	1	1	60	0	1	1	912	0.481156	
18597	1	1	60	0	1	1	912	0.490228	
18606	1	1	60	0	1	1	912	0.484565	
18993	1	1	0	0	3	1	912	0.505989	
18993	2	1	0	0	4	1	912	0.507283	
19152	1	1	60	0	1	1	912	0.483629	
19211	1	1	60	0	1	1	912	0.482833	
19547	1	1	60	0	1	1	912	0.490107	
19569	1	1	60	0	1	1	912	0.477967	
19833	1	1	60	0	1	1	912	0.483452	
20074	1	1	0	0	3	1	912	0.491008	
20074	2	1	60	0	1	1	912	0.493188	
20149	1	1	60	0	1	1	912	0.50745	
20450	1	1	60	0	1	1	912	0.495376	
20776	1	1	60	0	1	1	912	0.501437	
20781	1	1	60	0	1	1	912	0.485598	
20808	1	1	60	0	1	1	912	0.490828	
20831	1	1	60	0	1	1	912	0.494553	
20914	1	1	8.55261	0	2	1	912	0.488909	
20914	2	1	0	0	4	1	912	0.48965	
20943	1	1	60	0	1	1	912	0.481705	
21500	1	1	60	0	1	1	912	0.490042	
21630	1	1	60	0	1	1	912	0.485462	
21789	1	1	60	0	1	1	912	0.482449	
21800	1	1	60	0	1	1	912	0.479718	
21820	1	1	60	0	1	1	912	0.481364	
21978	1	1	60	0	1	1	912	0.478543	
22007	1	1	60	0	1	1	912	0.500748	
22057	1	1	60	0	1	1	912	0.496872	
22213	1	1	60	0	1	1	912	0.480693	
22466	1	1	60	0	1	1	912	0.491162	
22975	1	1	60	0	1	1	912	0.492058	
23005	1	1	60	0	1	1	912	0.481391	
23047	1	1	60	0	1	1	912	0.491162	
23060	1	1	60	0	1	1	912	0.48756	
23127	1	1	60	0	1	1	912	0.492651	
23580	1	1	60	0	1	1	912	0.480783	
23650	1	1	60	0	1	1	912	0.489154	
23710	1	1	60	0	1	1	912	0.484252	
23798	1	1	60	0	1	1	912	0.479476	
23843	1	1	0	0	3	1	912	0.485826	
23843	2	1	60	0	1	1	912	0.486465	
23897	1	1	60	0	1	1	912	0.507066	
24112	1	1	60	0	1	1	912	0.490291	
24198	1	1	60	0	1	1	912	0.483451	
24412	1	1	0	0	3	1	912	0.484764	
24412	2	1	60	0	1	1	912	0.486232	
24789	1	1	60	0	1	1	912	0.479729	
24814	1	1	60	0	1	1	912	0.484589	
24849	1	1	60	0	1	1	912	0.502425	
24965	1	1	60	0	1	1	912	0.491403	
25076	1	1	60	0	1	1	912	0.479247	
25895	1	1	60	0	1	1	912	0.486827	
26121	1	1	60	0	1	1	912	0.486583	
26135	1	1	60	0	1	1	912	0.500717	
26597	1	1	60	0	1	1	912	0.4787	
26656	1	1	60	0	1	1	912	0.480257	
26695	1	1	60	0	1	1	912	0.490429	
26794	1	1	60	0	1	1	912	0.482127	
26965	1	1	60	0	1	1	912	0.490843	
27061	1	1	60	0	1	1	912	0.481249	
27073	1	1	60	0	1	1	912	0.489419	
27313	1	1	60	0	1	1	912	0.48936	
27361	1	1	0.0453914	0	2	1	912	0.490877	
27361	2	1	59.9546	0	1	1	912	0.491138	
27376	1	1	60	0	1	1	912	0.491125	
27786	1	1	60	0	1	1	912	0.492139	
27940	1	1	60	0	1	1	912	0.482372	
28035	1	1	60	0	1	1	912	0.490987	
28067	1	1	0.80164	0	2	1	912	0.47963	
28067	2	1	59.1984	0	1	1	912	0.480521	
28148	1	1	60	0	1	1	912	0.504269	
28289	1	1	60	0	1	1	912	0.485614	
28291	1	1	60	0	1	1	912	0.48279	
28294	1	1	60	0	1	1	912	0.480484	
28964	1	1	60	0	1	1	912	0.488595	
29223	1	1	60	0	1	1	912	0.49516	
29727	1	1	60	0	1	1	912	0.487812	
29803	1	1	60	0	1	1	912	0.50189	
29852	1	1	60	0	1	1	912	0.490516	
29862	1	1	60	0	1	1	912	0.501684	
30000	1	1	60	0	1	1	912	0.484223	
30035	1	1	60	0	1	1	912	0.484317	
30231	1	1	60	0	1	1	912	0.488564	
30422	1	1	60	0	1	1	912	0.491718	
30489	1	1	60	0	1	1	912	0.507269	
30640	1	1	60	0	1	1	912	0.503979	
30646	1	1	60	0	1	1	912	0.489429	
30829	1	1	60	0	1	1	912	0.486827	
30977	1	1	60	0	1	1	912	0.490167	
31079	1	1	60	0	1	1	912	0.481703	
31219	1	1	60	0	1	1	912	0.4902	
31430	1	1	60	0	1	1	912	0.502829	
31578	1	1	60	0	1	1	912	0.484545	
31632	1	1	60	0	1	1	912	0.485516	
31644	1	1	60	0	1	1	912	0.486436	
31794	1	1	60	0	1	1	912	0.483398	
31854	1	1	60	0	1	1	912	0.481258	
32069	1	1	60	0	1	1	912	0.480389	
32153	1	1	60	0	1	1	912	0.482412	
32206	1	1	60	0	1	1	912	0.493624	
32495	1	1	60	0	1	1	912	0.48002	
32674	1	1	60	0	1	1	912	0.503705	
32814	1	1	60	0	1	1	912	0.491401	
32905	1	1	60	0	1	1	912	0.485611	
33069	1	1	60	0	1	1	912	0.48164	
33304	1	1	60	0	1	1	912	0.483474	
33502	1	1	60	0	1	1	912	0.491187	
33809	1	1	60	0	1	1	912	0.4828	
34085	1	1	60	0	1	1	912	0.479373	
34092	1	1	60	0	1	1	912	0.484753	
34149	1	1	60	0	1	1	912	0.490891	
34458	1	1	0	0	3	1	912	0.490074	
34458	2	1	60	0	1	1	912	0.490332	
34492	1	1	60	0	1	1	912	0.479227	
34539	1	1	7.51342	0	2	1	912	0.485501	
34539	2	1	0	0	4	1	912	0.485557	
34652	1	1	60	0	1	1	912	0.490278	
34666	1	1	60	0	1	1	912	0.5049	
34732	1	1	60	0	1	1	912	0.507556	
34781	1	1	60	0	1	1	912	0.484477	
34862	1	1	60	0	1	1	912	0.482546	
34904	1	1	60	0	1	1	912	0.479216	
35055	1	1	60	0	1	1	912	0.482629	
35069	1	1	60	0	1	1	912	0.482764	
35285	1	1	60	0	1	1	912	0.491847	
35383	1	1	60	0	1	1	912	0.491945	
35649	1	1	60	0	1	1	912	0.484555	
35689	1	1	10.1375	0	2	1	912	0.491522	
35689	2	1	0	0	4	1	912	0.4917	
35732	1	1	60	0	1	1	912	0.493851	
35788	1	1	60	0	1	1	912	0.487461	
35886	1	1	60	0	1	1	912	0.48876	
35925	1	1	60	0	1	1	912	0.48351	
35949	1	1	60	0	1	1	912	0.513817	
36499	1	1	60	0	1	1	912	0.501747	
36662	1	1	60	0	1	1	912	0.492009	
36750	1	1	60	0	1	1	912	0.488863	
36765	1	1	60	0	1	1	912	0.487206	
36811	1	1	60	0	1	1	912	0.487673	
37313	1	1	60	0	1	1	912	0.479689	
37413	1	1	60	0	1	1	912	0.486919	
37460	1	1	60	0	1	1	912	0.491634	
37550	1	1	0	0	3	1	912	0.482011	
37550	2	1	0	0	4	1	912	0.482392	
37597	1	1	60	0	1	1	912	0.486551	
37767	1	1	60	0	1	1	912	0.492072	
37794	1	1	60	0	1	1	912	0.479486	
37936	1	1	60	0	1	1	912	0.482738	
38078	1	1	60	0	1	1	912	0.489143	
38225	1	1	60	0	1	1	912	0.487333	
38388	1	1	60	0	1	1	912	0.479535	
38982	1	1	60	0	1	1	912	0.502747	
39354	1	1	60	0	1	1	912	0.489006	
39784	1	1	60	0	1	1	912	0.480042	
39829	1	1	60	0	1	1	912	0.4812	
39843	1	1	0	0	3	1	912	0.488072	
39843	2	1	60	0	1	1	912	0.48813	
39898	1	1	60	0	1	1	912	0.488454	
40023	1	1	60	0	1	1	912	0.504211	
40130	1	1	60	0	1	1	912	0.487494	
40378	1	1	60	0	1	1	912	0.479135	
40449	1	1	60	0	1	1	912	0.482826	
40594	1	1	60	0	1	1	912	0.485908	
40629	1	1	60	0	1	1	912	0.484309	
40676	1	1	60	0	1	1	912	0.488815	
40749	1	1	60	0	1	1	912	0.478682	
40761	1	1	60	0	1	1	912	0.486546	
40805	1	1	60	0	1	1	912	0.491651	
40961	1	1	60	0	1	1	912	0.483142	
40988	1	1	60	0	1	1	912	0.482719	
41243	1	1	60	0	1	1	912	0.485224	
41919	1	1	60	0	1	1	912	0.512347	
42071	1	1	60	0	1	1	912	0.482359	
42563	1	1	60	0	1	1	912	0.491121	
42643	1	1	60	0	1	1	912	0.480652	
42799	1	1	60	0	1	1	912	0.485117	
42906	1	1	60	0	1	1	912	0.49406	
42922	1	1	60	0	1	1	912	0.483215	
43101	1	1	60	0	1	1	912	0.489881	
43174	1	1	60	0	1	1	912	0.505994	
43693	1	1	60	0	1	1	912	0.47953	
43754	1	1	60	0	1	1	912	0.478338	
44063	1	1	60	0	1	1	912	0.479357	
44071	1	1	60	0	1	1	912	0.484498	
45078	1	1	60	0	1	1	912	0.489506	
45436	1	1	60	0	1	1	912	0.489575	
45581	1	1	60	0	1	1	912	0.489034	
45838	1	1	60	0	1	1	912	0.484115	
45907	1	1	60	0	1	1	912	0.482187	
46300	1	1	60	0	1	1	912	0.486658	
46488	1	1	60	0	1	1	912	0.484371	
46552	1	1	60	0	1	1	912	0.487208	
46897	1	1	60	0	1	1	912	0.484935	
47012	1	1	60	0	1	1	912	0.499444	
