EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
37	1	1	0	0	4	1	0	3.46643	
40	1	1	463.872	0	2	1	0	3.31902	
40	2	1	0	0	4	10	0	3.33002	
45	1	1	432.163	0	2	1	0	3.319	
45	2	1	229.837	0	1	1	0	3.34557	
57	1	1	32.823	0	2	10	0	3.31897	
57	2	1	0	0	4	10	0	3.33556	
68	1	1	0	0	4	10	0	3.31897	
71	1	1	335.732	0	2	10	0	3.319	
71	2	1	0	0	4	10	0	3.32594	
72	1	1	61.0616	0	1	10	0	4.08538	
76	1	1	0	0	4	1	0	3.31897	
79	1	1	225.867	0	2	10	0	3.31897	
79	2	1	0	0	4	10	0	3.33191	
91	1	1	0	0	4	10	0	3.319	
95	1	1	586.791	0	1	10	0	3.32374	
101	1	1	0	0	4	1	0	3.31901	
118	1	1	0	0	4	1	0	3.31903	
130	1	1	0	0	4	10	0	3.31899	
145	1	1	99.7073	0	2	1	0	3.31901	
145	2	1	0	0	4	1	0	3.34768	
147	1	1	0	0	4	1	0	3.31902	
148	1	1	81.3228	0	2	1	0	3.31898	
148	2	1	0	0	4	1	0	3.34203	
172	1	1	0	0	4	1	0	3.31902	
202	1	1	0	0	4	1	0	3.319	
226	1	1	475.669	0	2	10	0	3.31898	
226	2	1	186.33	0	1	10	0	3.32454	
227	1	1	0	0	4	1	0	3.319	
229	1	1	0	0	4	1	0	3.31899	
258	1	1	0	0	4	1	0	3.31897	
269	1	1	0	0	4	1	0	3.31899	
288	1	1	0	0	4	1	0	3.31897	
302	1	1	0	0	4	1	0	3.31901	
322	1	1	0	0	4	1	0	3.31899	
324	1	1	42.2656	0	2	10	0	3.31896	
324	2	1	0	0	4	10	0	3.33274	
332	1	1	662	0	1	1	0	3.319	
337	1	1	0	0	4	10	0	3.31902	
348	1	1	0	0	4	10	0	3.31899	
353	1	1	406.715	0	2	1	0	3.319	
353	2	1	0	0	4	10	0	3.33577	
356	1	1	202.382	0	2	1	0	3.31898	
356	2	1	0	0	4	10	0	3.3376	
361	1	1	287.296	0	2	1	0	3.31898	
361	2	1	374.704	0	1	10	0	3.32519	
364	1	1	383.797	0	2	1	0	3.31899	
364	2	1	0	0	4	10	0	3.3415	
380	1	1	468.611	0	2	1	0	3.31899	
380	2	1	51.0964	0	2	1	0	3.34894	
380	3	1	142.293	0	1	10	0	3.3504	
384	1	1	0	0	3	10	0	3.31897	
384	2	1	0	0	4	10	0	3.33356	
411	1	1	162.852	0	2	10	0	3.31899	
411	2	1	0	0	4	1	0	3.3298	
412	1	1	0	0	4	1	0	3.31902	
421	1	1	0	0	4	1	0	3.31901	
426	1	1	0	0	4	1	0	3.31899	
435	1	1	0	0	4	1	0	3.31897	
446	1	1	284.411	0	2	10	0	3.319	
446	2	1	0	0	4	10	0	3.32062	
501	1	1	0	0	4	1	0	3.31897	
525	1	1	0	0	4	1	0	3.31901	
531	1	1	0	0	4	1	0	3.31899	
537	1	1	107.018	0	2	10	0	3.319	
537	2	1	554.982	0	1	1	0	3.32187	
541	1	1	0	0	4	1	0	3.31897	
546	1	1	0	0	4	1	0	3.31898	
548	1	1	0	0	4	1	0	3.31899	
549	1	1	0	0	4	1	0	3.31899	
559	1	1	0	0	4	1	0	3.31899	
